Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances,Best_model
modified_reg46,67,4.204692619390966,9988,9.209139651399664,6056,9988,0,0,12.18253283983514,0.005606728,0.00010012,0.000165125,0.000178717,892.3529422168998,597159019.5197803,3915.340304445098,-5.025835322,26.65789596194641,4.893221400395579,7.7126350117511295,-1.901119911,708.7853444624548,93.98244085,204.57103903999885,0.00670805,DecisionTree
modified_reg47,17,2.833213344056216,476972,13.07521306793791,3741,476972,0,0,8.081795349159226,0.035532484,2.0965591271605043e-06,0.000267308,0.001411615,1.1886001353637805,9637792.724000463,15.27671362242452,0.1854152675484811,34.249177374573364,3.995438057456584,7.945155918,-1.965629421,2015.709391819563,125.85483215595052,487.4790670967432,3.564150516172857e-05,DecisionTree
modified_reg48,6,1.791759469228055,5922,8.686429508661536,5922,5922,0,0,12.531868775177555,0.000168862,0.000168862,0.000168862,2.710734310710155e-20,173725.4463545408,6172812559.869543,232298.3829174121,-0.178341841,0.6908080814460278,0.035333234,0.3326200572606921,-1.835139193,0.1113069303733986,-0.808808786,0.76646865,0.001013171,RandomForestRegressor
modified_reg49,17,2.833213344056216,4248,8.354203562921775,432,4248,6,708,8.118630243344223,0.012241055,0.000235405,0.002314815,0.002348307,193.9238572162301,9061674,169.4667543289957,0.073739449,4.443272786830081,1.6977270722660236,1.1690252689504852,-1.235418263,35.33911239210227,6.305962409653717,10.110545634764964,0.004001883,RandomForestRegressor
modified_reg5,7,1.9459101490553128,655,6.484635235635252,205,655,0,0,6.836331919321584,0.1465648854961832,0.001526718,0.004878049,0.010483116,544.1481679389314,2494919.35,544.5959520155374,0.020535421,2.125895221525888,1.099882248945579,0.9485850561456854,-1.968497904,9.780631692841556,2.9959268680556272,4.582830770434927,0.010687023,XGBoost
modified_reg50,31,3.4339872044851463,844392,13.64637212072857,21734,844392,0,0,13.404167807863017,0.000254621,1.1842840765900195e-06,4.601085856262078e-05,5.6297472796928425e-05,224.62525145238084,5879824725.055741,557.4817461106601,-30.41229458,109.04076025739154,8.204598473226051,24.66483516,-1.999977038,11887.915554848209,657.0973020169031,2339.474999516942,3.671280637429061e-05,XGBoost
modified_reg51,43,3.7612001156935615,180519,12.10359131437319,3228,180519,13,13886.076923076924,9.398976979621786,0.006990954,5.539583090976573e-06,0.000309789,0.000863297,6020.348123433462,32603616686.82255,11911.566014544129,-4.74183407,6.439303119629733,0.5854191583493275,2.2424765955495274,-1.962356958,71.37725865589996,10.751753155534878,20.22921897911897,0.000238202,Decision tree
modified_reg52,40,3.688879454113936,1931233,14.473669217000452,338001,1931233,33,58522.21212121212,11.291019417442492,0.059698131,5.178039107658164e-07,2.9585711284877883e-06,0.000180886,202.63940079847336,2739407285.4556665,376.3136606925164,-0.225656557,9.738552813129552,1.937248961577129,3.732308020313388,-1.232671443,206.2104943450568,31.156027818758268,77.51304769423905,2.071215643063266e-05,RandomForestRegressor
modified_reg54,6,1.791759469228055,2121,7.659642954564682,1636,2121,0,0,10.535079863295362,0.002828854,0.000471476,0.000611247,0.000312267,60.955677989941854,775721.9581,201.3203198969951,-2.285455575,3.349168066264496,0.5113749302708941,1.8778885597949504,-1.485306076,37.00338269,8.885438819481223,15.207862134857976,0.002828854,XGBoost
modified_reg55,10,2.302585092994046,421570,12.95174111618222,359464,421570,2,210785,18.18854334124656,0.000837346,2.3720853001873948e-06,2.78191974717913e-06,4.5629182839414e-06,19352.25519371338,65266641776,21901.04816213617,-0.325849766,4.4384669771914735,0.9950366523096692,1.7995257708385288,-1.423234975,21.49128990832619,4.244131161361054,10.09697010810449,2.372085300187395e-05,RandomForestRegressor
